idn	hero	primary_attribute	strength_base	strength_growth	agility_base	agility_growth	intelligence_base	intelligence_growth	movement_speed	starting_armor	damage_min	damage_max	attack_point	cast_point	turn_rate	day_sight_range	night_sight_range	attack_range	base_attack_time
36	Necrophos	Intelligence	16	2	15	1.7	22	2.5	290	2.1	44	48	0.53	0.7	0.5	"1,800"	800	550	1.7
37	Warlock	Intelligence	18	2.5	10	1	24	2.7	295	2.4	46	56	0.3	0.5	0.4	"1,800"	800	600	1.7
38	Beastmaster	Strength	23	2.2	18	1.6	16	1.9	310	4.52	56	60	0.3	0.5	0.4	"1,800"	800	128	2
39	Queen of Pain	Intelligence	16	1.7	18	2	24	2.5	300	1.52	49	57	0.56	0.452	1	"1,800"	800	550	1.7
40	Venomancer	Agility	18	1.85	22	2.6	15	1.75	285	3.08	41	43	0.3	0	0.4	"1,800"	800	450	1.7
41	Faceless Void	Agility	23	1.6	21	2.65	15	1.5	300	3.94	58	64	0.5	0.35	0.5	"1,800"	800	128	1.7
42	Wraith King	Strength	22	2.9	18	1.7	18	1.6	300	3.52	54	56	0.56	0.35	0.4	"1,800"	800	128	1.7
43	Death Prophet	Intelligence	19	2.2	14	1.4	20	3	280	2.96	44	56	0.56	0.5	0.5	"1,800"	800	600	1.7
44	Phantom Assassin	Agility	20	1.85	23	3.15	13	1	310	4.22	46	48	0.3	0.3	0	"1,800"	800	128	1.7
45	Pugna	Intelligence	17	1.2	16	1	26	4	320	1.24	45	53	0.5	0.2	0.5	"1,800"	800	600	1.7
46	Templar Assassin	Agility	18	2.1	23	2.7	20	2	305	4.22	53	59	0.3	0.3	0.7	"1,800"	800	140	1.7
47	Viper	Agility	20	1.9	21	2.5	15	1.8	285	1.94	44	46	0.33	0.3	0	"1,800"	800	575	1.7
48	Luna	Agility	15	1.9	22	2.8	16	1.85	330	3.08	48	54	0.46	0.6	0	"1,800"	800	330	1.7
49	Dragon Knight	Strength	19	2.8	19	2.2	15	1.7	290	3.66	46	52	0.5	0	0.6	"1,800"	800	128	1.7
50	Dazzle	Intelligence	16	1.85	21	1.7	27	3.4	305	1.94	41	59	0.3	0.3	0.6	"1,800"	800	500	1.7
51	Clockwerk	Strength	24	2.7	13	2.3	17	1.3	315	1.82	55	57	0.33	0.3	1	"1,800"	800	128	1.7
52	Leshrac	Intelligence	16	1.5	23	1.7	26	3	315	3.22	45	49	0.4	0.7	1	"1,800"	800	600	1.7
53	Nature's Prophet	Intelligence	19	1.8	18	1.9	21	2.9	295	3.52	45	59	0.4	0.5	0.6	"1,800"	800	600	1.7
54	Lifestealer	Strength	25	2.4	18	1.9	15	1.75	315	1.52	57	67	0.39	0.2	1	"1,800"	800	128	1.7
55	Dark Seer	Intelligence	22	2.3	12	1.2	29	2.7	300	5.68	60	66	0.59	0.4	1	"1,800"	800	128	1.7
56	Clinkz	Agility	15	1.6	22	3	16	1.55	300	2.08	37	43	0.7	0.5	0.4	"1,800"	800	600	1.7
57	Omniknight	Strength	20	2.65	15	1.75	17	1.8	305	4.1	51	61	0.433	0.5	0.6	"1,800"	800	128	1.7
58	Enchantress	Intelligence	16	1	19	1.8	16	2.8	310	0.66	47	57	0.3	0.3	0	"1,800"	800	550	1.7
59	Huskar	Strength	21	2.4	15	1.4	18	1.5	300	1.1	42	51	0.4	0.3	1	"1,800"	800	400	1.6
60	Night Stalker	Strength	23	2.8	18	2.25	16	1.6	295	5.52	57	61	0.55	0.3	0.5	"1,200"	"1,800"	128	1.7
61	Broodmother	Agility	17	2.5	18	2.2	18	2	295	2.52	44	50	0.4	0.2	0.5	"1,800"	800	128	1.7
62	Bounty Hunter	Agility	17	1.8	21	3	19	1.4	315	5.94	45	59	0.59	0.3	0.6	"1,800"	"1,000"	128	1.7
63	Weaver	Agility	15	1.5	14	2.5	15	1.8	290	0.96	50	60	0.64	0.3	0.5	"1,800"	800	425	1.8
64	Jakiro	Intelligence	24	2.3	10	1.2	28	2.8	290	2.4	46	54	0.4	0.65	0.5	"1,800"	800	400	1.7
65	Batrider	Intelligence	23	2.4	15	1.5	24	2.5	290	2.1	38	42	0.3	0.2	1	"1,200"	800	375	1.7
66	Chen	Intelligence	20	1.5	15	2.1	21	2.8	300	1.1	43	53	0.5	0.3	0.6	"1,800"	800	600	1.7
67	Spectre	Agility	19	2	23	2.2	16	1.9	295	3.22	46	50	0.3	0.3	0.4	"1,800"	800	128	1.7
68	Ancient Apparition	Intelligence	18	1.4	20	2.2	25	2.6	295	1.8	44	54	0.45	0.01	1	"1,800"	800	600	1.7
69	Doom	Strength	26	3.2	11	0.9	13	2.1	290	0.54	53	69	0.5	0.3	0.5	"1,800"	800	150	1.7
70	Ursa	Agility	23	2.9	18	2.1	16	1.5	310	5.52	45	49	0.3	0.3	1	"1,800"	800	128	1.7
71	Spirit Breaker	Strength	29	2.4	17	1.7	14	1.8	290	5.38	60	70	0.6	0.47	0.4	"1,800"	800	128	1.9
72	Gyrocopter	Agility	18	1.8	24	2.8	23	2.1	315	4.36	41	51	0.2	0.3	1	"1,800"	8.00E+02	365	1.7
73	Alchemist	Strength	25	1.8	11	1.2	25	1.8	295	1.54	49	58	0.35	0.2	0.6	"1,800"	800	128	1.7
74	Invoker	Intelligence	19	1.7	20	1.9	22	2.5	280	1.8	35	41	0.4	0	0.5	"1,800"	800	600	1.7
75	Silencer	Intelligence	17	2.2	16	2.1	27	2.5	300	1.24	43	57	0.5	0.3	1	"1,800"	800	600	2
76	Outworld Devourer	Intelligence	19	1.85	24	2	26	3.3	315	5.36	46	61	0.46	0.25	0.5	"1,800"	800	450	1.7
77	Lycan	Strength	22	2.75	16	1.9	17	1.55	305	3.24	58	62	0.55	0.3	0.5	"1,800"	800	128	1.7
78	Brewmaster	Strength	23	2.9	22	1.95	14	1.25	300	4.08	52	59	0.35	0.4	0.6	"1,800"	800	128	1.7
79	Shadow Demon	Intelligence	17	1.9	18	2.2	23	2.7	295	2.52	50	54	0.35	0.3	1	"1,800"	800	500	1.7
80	Lone Druid	Agility	17	2.1	24	2.7	13	1.4	325	3.36	46	50	0.33	0.5	0.4	"1,800"	800	550	1.7
81	Chaos Knight	Strength	20	2.9	14	2.1	16	1.2	325	3.96	49	79	0.5	0.4	0.5	"1,800"	800	128	1.7
82	Meepo	Agility	23	1.6	23	1.9	20	1.6	305	4.22	39	45	0.38	0.5	0.65	"1,800"	800	128	1.7
83	Treant Protector	Strength	25	3.3	15	2	17	1.8	300	1.1	81	89	0.6	0.5	0.5	"1,800"	800	128	1.9
84	Ogre Magi	Intelligence	23	3.2	14	1.55	17	2.4	295	5.96	58	64	0.3	0.56	0.6	"1,800"	800	128	1.7
85	Undying	Strength	22	2.1	10	0.8	27	2	310	3.4	57	65	0.3	0.45	1	"1,800"	800	128	1.7
86	Rubick	Intelligence	19	1.5	14	1.6	27	2.4	290	0.96	44	54	0.4	0.1	0.5	"1,800"	800	600	1.7
87	Disruptor	Intelligence	19	1.9	15	1.4	22	2.5	300	1.1	49	53	0.4	0.05	1	"1,800"	800	600	1.7
88	Nyx Assassin	Agility	18	2	19	2.2	18	2.1	300	3.66	49	53	0.46	0.4	0.5	"1,800"	800	128	1.7
89	Naga Siren	Agility	21	2.3	21	2.75	18	1.95	320	5.94	44	46	0.5	0.65	0.5	"1,800"	800	128	2
90	Keeper of the Light	Intelligence	14	1.8	15	1.6	22	2.8	315	1.1	40	54	0.3	0.3	0.5	"1,800"	800	600	1.7
91	Io	Strength	17	1.9	14	1.6	23	1.7	295	-0.04	43	52	0.15	0.001	0.7	"1,800"	800	575	1.7
92	Visage	Intelligence	22	2.4	11	1.3	24	2.5	285	-0.46	48	58	0.46	0.4	0.5	"1,800"	800	600	1.7
93	Slark	Agility	21	1.8	21	1.5	16	1.9	305	1.94	54	62	0.5	0.001	1	"1,800"	"1,800"	128	1.7
94	Medusa	Agility	14	1.65	20	2.5	19	1.85	290	1.8	44	50	0.5	0.4	1	"1,800"	800	600	1.7
95	Troll Warlord	Agility	17	2.2	21	2.75	13	1	300	1.94	38	56	0.3	0.2	1	"1,800"	800	500	1.7
96	Centaur Warrunner	Strength	23	3.8	15	2	15	1.6	300	3.1	55	57	0.3	0.5	1	"1,800"	800	128	1.7
97	Magnus	Strength	21	2.75	15	2.5	19	1.65	315	4.1	49	61	0.5	0.3	0.8	"1,800"	800	128	1.7
98	Timbersaw	Strength	22	2.1	16	1.3	21	2.4	290	0.24	51	55	0.36	0.3	0.6	"1,800"	800	128	1.7
99	Bristleback	Strength	22	2.2	17	1.8	14	2.8	295	3.38	48	58	0.3	0.3	1	"1,800"	800	128	1.7
100	Tusk	Strength	23	2.3	23	2.1	18	1.7	305	3.22	49	53	0.36	0.1	0.5	"1,800"	800	128	1.7
101	Skywrath Mage	Intelligence	19	1.5	18	0.8	27	3.6	315	0.52	39	49	0.4	0.1	0.5	"1,800"	800	600	1.7
102	Abaddon	Strength	23	2.7	17	1.5	21	2	310	1.38	55	65	0.56	0.452	0.6	"1,800"	800	128	1.7
103	Elder Titan	Strength	24	2.3	14	1.5	23	1.6	315	2.96	47	57	0.35	0.4	0.4	"1,800"	800	128	1.7
104	Legion Commander	Strength	26	2.6	18	1.7	20	2.2	320	2.52	57	61	0.46	0.3	0.5	"1,800"	800	128	1.7
105	Techies	Intelligence	17	2	14	1.3	22	2.9	270	6.96	29	31	0.5	0	0.5	"1,800"	800	700	1.7
106	Ember Spirit	Agility	19	2	22	1.8	20	1.8	310	1.08	52	56	0.4	0	0.6	"1,800"	800	128	1.7
107	Earth Spirit	Strength	21	2.9	17	1.5	18	2.4	305	3.38	46	56	0.35	0.01	0.6	"1,800"	800	128	1.7
109	Terrorblade	Agility	15	1.9	22	3.2	19	1.75	315	7.08	48	54	0.3	0.5	0.5	"1,800"	800	128	1.5
110	Phoenix	Strength	17	2.9	12	1.3	18	1.8	285	-0.32	43	53	0.35	0.01	1	"1,800"	800	500	1.7
111	Oracle	Intelligence	18	1.9	15	1.7	23	2.9	305	2.1	45	51	0.3	0.3	0.4	"1,800"	800	620	1.4
112	Winter Wyvern		24	2.1	16	1.9	25	3.1	285	1.7	38	45	0.25	0.3	0.4	"1,800"	800	425	1.7
